City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Pevek,RU,69.7008,170.3133,31.87,99,100,8.68,light snow
131,Cidreira,BR,-30.1811,-50.2056,71.76,72,100,4.97,light rain
132,Leh,IN,34.1667,77.5833,71.47,10,88,5.93,overcast clouds
133,Mildura,AU,-34.2,142.15,44.08,88,3,11.97,clear sky
134,Yarada,IN,17.65,83.2667,84.52,89,75,2.3,mist
135,Yar-Sale,RU,66.8333,70.8333,47.89,73,100,8.03,overcast clouds
136,Samarai,PG,-10.6167,150.6667,79.88,82,1,8.84,clear sky
137,Khatanga,RU,71.9667,102.5,52.99,66,100,7.27,overcast clouds
138,Bredasdorp,ZA,-34.5322,20.0403,51.1,84,13,3.62,few clouds
139,Ban Dung,TH,17.699,103.2596,77.11,99,98,10.18,moderate rain
140,Anadyr,RU,64.75,177.4833,41.5,86,0,8.95,clear sky
141,Siauliai,LT,55.9333,23.3167,82.42,47,0,8.05,clear sky
142,Tiznit,MA,29.5833,-9.5,101.62,12,57,9.26,broken clouds
143,Acapulco,MX,16.8634,-99.8901,85.82,79,75,4.61,broken clouds
144,Makasar,ID,-5.14,119.4221,75.25,100,20,0.0,few clouds
145,Chokurdakh,RU,70.6333,147.9167,36.91,56,95,8.25,overcast clouds
146,Liverpool,GB,53.4106,-2.9779,69.66,64,75,11.5,broken clouds
147,Bengkulu,ID,-3.8004,102.2655,76.3,91,76,4.56,broken clouds
148,Redmond,US,47.674,-122.1215,69.8,79,100,4.0,overcast clouds
149,Andenes,NO,69.3143,16.1194,60.78,72,75,8.05,broken clouds
150,Kavieng,PG,-2.5744,150.7967,80.94,79,100,9.95,light rain
151,Ann Arbor,US,42.2776,-83.7409,84.4,63,0,14.97,clear sky
152,Creemore,CA,44.327,-80.1075,74.61,88,61,6.91,broken clouds
153,Avarua,CK,-21.2078,-159.775,71.65,73,100,12.66,overcast clouds
154,Marsa Matruh,EG,31.3525,27.2453,82.6,65,0,14.97,clear sky
155,Ambilobe,MG,-13.2,49.05,70.52,62,6,6.6,clear sky
156,Maragogi,BR,-9.0122,-35.2225,77.61,79,73,11.65,broken clouds
157,Kruisfontein,ZA,-34.0033,24.7314,55.89,83,0,3.0,clear sky
158,Lavrentiya,RU,65.5833,-171.0,39.63,91,100,22.7,light rain
159,Isangel,VU,-19.55,169.2667,76.08,87,14,10.25,few clouds
160,Port Augusta,AU,-32.5,137.7667,49.33,87,74,7.43,broken clouds
161,Severo-Kurilsk,RU,50.6789,156.125,52.48,97,100,22.95,moderate rain
162,Maceio,BR,-9.6658,-35.7353,83.64,65,75,13.8,broken clouds
163,San Patricio,US,28.017,-97.5169,91.27,44,2,14.7,clear sky
164,Catalao,BR,-18.1658,-47.9464,80.26,30,7,10.96,clear sky
165,Roald,NO,62.5833,6.1333,60.75,72,40,17.27,scattered clouds
166,Itarema,BR,-2.9248,-39.9167,88.63,50,69,11.23,broken clouds
167,Pascagoula,US,30.3658,-88.5561,91.4,66,20,0.0,few clouds
168,Labuhan,ID,-6.8844,112.2051,76.24,81,75,8.84,broken clouds
169,Kaeo,NZ,-35.1,173.7833,50.32,95,36,5.32,scattered clouds
170,Merritt Island,US,28.5392,-80.672,91.09,64,40,4.61,scattered clouds
171,Amor,PT,39.804,-8.8598,87.17,71,40,9.22,scattered clouds
172,Saskylakh,RU,71.9167,114.0833,49.64,70,98,12.86,overcast clouds
173,Lompoc,US,34.6391,-120.4579,71.92,88,100,5.01,overcast clouds
174,Mandalgovi,MN,45.7625,106.2708,58.87,62,100,0.96,overcast clouds
175,Harper,LR,4.375,-7.7169,77.76,66,65,8.88,broken clouds
176,Mayo,US,38.8876,-76.5119,93.36,71,75,6.91,broken clouds
177,Trairi,BR,-3.2778,-39.2689,82.92,65,98,9.62,overcast clouds
178,Bethel,US,41.3712,-73.414,91.89,69,0,5.75,clear sky
179,Tiksi,RU,71.6872,128.8694,40.46,85,29,8.9,scattered clouds
180,Eureka,US,40.8021,-124.1637,56.62,89,74,1.01,broken clouds
181,Sola,VU,-13.8833,167.55,80.58,79,9,18.5,clear sky
182,Kendari,ID,-3.945,122.4989,74.48,94,57,1.07,broken clouds
183,Ixtapa,MX,20.7,-105.2,89.22,70,31,1.99,scattered clouds
184,Acari,PE,-15.4311,-74.6158,69.51,60,69,6.62,broken clouds
185,Valley City,US,46.9233,-98.0032,75.72,53,0,9.22,clear sky
186,Port Macquarie,AU,-31.4333,152.9167,57.88,88,75,6.91,broken clouds
187,Namibe,AO,-15.1961,12.1522,65.03,82,100,17.27,overcast clouds
188,Mandera,KE,3.9366,41.867,87.87,31,30,16.13,scattered clouds
189,Codrington,AU,-38.2667,141.9667,46.44,85,5,10.78,clear sky
190,Mount Pleasant,US,32.7941,-79.8626,84.34,81,75,11.5,broken clouds
191,Henties Bay,NA,-22.116,14.2845,60.31,73,1,10.65,clear sky
192,Eyemouth,GB,55.8713,-2.0901,67.82,71,91,7.85,overcast clouds
193,Akdepe,TM,42.0551,59.3788,102.29,13,0,11.16,clear sky
194,Kyra,RU,49.5776,111.9753,63.64,87,73,2.8,broken clouds
195,Sakakah,SA,29.9697,40.2064,110.77,9,0,7.87,clear sky
196,Hofn,IS,64.2539,-15.2082,55.42,76,100,6.91,overcast clouds
197,Palmer,US,42.1584,-72.3287,91.24,64,65,4.0,broken clouds
198,Bourail,NC,-21.5667,165.4833,71.92,89,31,6.38,scattered clouds
199,Grindavik,IS,63.8424,-22.4338,54.07,94,75,10.36,light intensity drizzle
200,Bilibino,RU,68.0546,166.4372,34.81,68,43,4.65,scattered clouds
201,Brae,GB,60.3964,-1.353,54.64,77,23,11.86,few clouds
202,Banjar,ID,-8.19,114.9675,73.83,88,55,6.15,broken clouds
203,Pemberton,CA,50.3164,-122.8027,65.89,68,73,2.08,broken clouds
204,Maniitsoq,GL,65.4167,-52.9,43.81,95,100,15.39,overcast clouds
205,Tuatapere,NZ,-46.1333,167.6833,43.63,88,98,2.53,overcast clouds
206,Imbituba,BR,-28.24,-48.6703,76.08,71,27,11.01,scattered clouds
207,Husavik,IS,66.0449,-17.3389,51.6,76,70,6.69,broken clouds
208,Luba,GQ,3.4568,8.5547,75.92,90,94,9.6,light rain
209,Gomel,BY,52.4345,30.9754,73.38,68,75,15.66,thunderstorm with light rain
210,Shypyntsi,UA,48.3768,25.7466,82.56,22,2,15.26,clear sky
211,Pitimbu,BR,-7.4706,-34.8086,75.79,81,89,13.31,overcast clouds
212,Anloga,GH,5.7947,0.8973,77.11,73,60,16.67,broken clouds
213,Norman Wells,CA,65.282,-126.8329,59.04,94,100,2.3,overcast clouds
214,Barrow,US,71.2906,-156.7887,42.82,81,0,21.85,clear sky
215,Saint Anthony,US,45.0205,-93.218,81.14,47,0,18.41,clear sky
216,Shahrud,IR,36.4182,54.9763,82.27,42,0,10.4,clear sky
217,Hobbs,US,32.7026,-103.136,82.67,53,75,5.75,broken clouds
218,Ponta Do Sol,PT,32.6667,-17.1,77.13,62,1,4.41,clear sky
219,Waddan,LY,29.1614,16.139,92.5,22,0,13.78,clear sky
220,Sitka,US,57.0531,-135.33,55.29,88,100,4.61,overcast clouds
221,San Cristobal,VE,7.7669,-72.225,78.98,75,97,6.82,overcast clouds
222,Riyadh,SA,24.6877,46.7219,109.54,6,54,13.96,broken clouds
223,Vardo,NO,70.3705,31.1107,58.98,82,0,9.22,clear sky
224,Kununurra,AU,-15.7667,128.7333,69.58,29,8,5.91,clear sky
225,Tarko-Sale,RU,64.9225,77.785,49.14,80,94,11.45,overcast clouds
226,Vikulovo,RU,56.8167,70.6107,58.98,94,91,9.13,light rain
227,Ambulu,ID,-8.345,113.6058,72.99,88,39,4.76,scattered clouds
228,Nizhniy Bestyakh,RU,61.9594,129.9086,63.88,100,83,0.0,fog
229,Casas Grandes,MX,30.3667,-107.95,81.91,39,76,1.95,broken clouds
230,Westport,US,41.1415,-73.3579,93.15,78,0,6.91,clear sky
231,Bella Union,UY,-30.2752,-57.6007,70.32,81,100,2.71,overcast clouds
232,Alice Springs,AU,-23.7,133.8833,44.26,47,0,5.93,clear sky
233,Sao Filipe,CV,14.8961,-24.4956,75.63,87,69,7.11,broken clouds
