City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
356,Touros,BR,82.58,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
357,Dingle,PH,77.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
360,Bontang,ID,80.89,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
361,Ashoknagar,IN,77.67,light rain,24.5667,77.7167,Hotel Rajshree
362,Wittelsheim,FR,87.04,clear sky,47.8094,7.2402,Aux Berges de la Thur
363,Bolobo,CD,88.2,broken clouds,-2.1667,16.2333,Hotel de Stephen
376,Zemio,CF,76.89,overcast clouds,5.0314,25.1361,OCHA Office
377,Lata,PT,85.5,clear sky,40.1629,-8.3327,Casa Maquia
379,Mason City,US,80.73,clear sky,43.1536,-93.201,Days Inn by Wyndham Mason City
381,Marshall,US,88.09,broken clouds,34.3834,-86.3333,Riverview Campground
382,Lorengau,PG,80.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
392,Bosaso,SO,89.85,broken clouds,11.2842,49.1816,Red Sea Hotel
395,Gizo,SB,81.63,light rain,-8.103,156.8419,Imagination Island
399,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
400,Samandag,TR,88.32,clear sky,36.0842,35.9771,Anadolu Palace Hotel
404,Tabou,CI,77.7,broken clouds,4.423,-7.3528,hotêl doufoulougou
405,Mbini,GQ,78.46,broken clouds,1.574,9.6134,
410,Sibolga,ID,77.22,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
412,Lalmohan,BD,83.37,light rain,22.3384,90.7419,Arifur Rahman Miraj
413,Ryde,GB,76.71,overcast clouds,50.73,-1.1621,Dorset Hotel
415,Fria,GN,79.21,moderate rain,10.4167,-13.5833,
418,Silvania,BR,80.89,clear sky,-16.6589,-48.6081,Hotel Dom Bosco
419,Kulhudhuffushi,MV,81.55,overcast clouds,6.6221,73.07,Haajy Guest House 1
420,Bambanglipuro,ID,75.74,broken clouds,-7.95,110.2833,Puri Brata
422,Baraya,CO,76.8,broken clouds,3.1533,-75.0531,HOTEL LOS ALMENDROS
425,Tekkali,IN,83.34,overcast clouds,18.6167,84.2333,Spoorthi function hall
426,Guabito,PA,80.06,overcast clouds,9.5,-82.6167,Cabinas Sanchez Salazar
428,Neiafu,TO,77.47,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
436,Kalmunai,LK,82.63,moderate rain,7.4167,81.8167,VS Villa
437,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
445,Larreynaga,NI,88.3,overcast clouds,12.6769,-86.5719,Finca El Carrizal
446,Oranjestad,AW,87.75,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
447,Rincon,US,85.96,broken clouds,32.296,-81.2354,Days Inn Rincon
449,Vieques,PR,80.85,light rain,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
450,Kristinehamn,SE,86.56,overcast clouds,59.3098,14.1081,Hotell Marieberg
